dataid,last_season,b_pa,b_ab,b_r,b_h,b_d,b_t,b_hr,b_rbi,b_sh,b_sf,b_hbp,b_w,b_iw,b_k,b_sb,b_cs,b_gdp,b_xi,b_roe,dh,ph,pr
abboa001,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
abelm001,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
abnep001,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
abrac001,2025,2154,1969,287,490,104,19,59,210,7,12,52,114,6,422,116,23,21,0,16,3,9,5
abreb002,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
abrej003,2024,6304,5683,777,1609,330,17,268,978,0,56,127,438,57,1259,12,6,190,0,73,207,4,0
abrew002,2025,954,853,122,217,56,2,39,141,1,8,3,89,5,252,17,7,15,0,3,6,45,2
acosm002,2025,61,54,7,11,1,0,3,5,0,0,1,6,0,17,1,2,0,0,1,0,0,0
actog001,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
acunl001,2025,236,217,36,53,9,1,3,14,2,1,2,14,0,45,16,2,7,0,1,3,5,26
acunr001,2025,3803,3274,674,943,168,14,189,468,0,15,57,454,21,860,210,52,48,3,37,34,11,0
adama002,2024,2,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
adamj002,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
adamj003,2025,83,79,6,13,0,0,1,5,0,1,0,3,0,30,3,2,1,0,2,0,3,4
adamr004,2025,849,763,74,161,38,4,21,73,1,3,16,66,1,276,2,1,19,0,8,5,27,3
adamt002,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
adamw002,2025,4426,3929,568,957,201,7,182,566,4,26,18,446,14,1205,65,28,73,3,44,7,11,1
adcot001,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
adelj001,2025,1643,1511,172,332,57,8,75,226,1,5,23,98,1,496,27,15,32,5,12,7,26,5
adonj001,2024,2,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
adrie001,2024,1589,1405,188,331,77,9,22,151,17,17,19,129,5,315,19,8,21,2,12,7,186,33
agnoz001,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
aguij002,2024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ahmen001,2025,3401,3116,365,726,160,25,72,339,16,27,15,227,14,681,44,23,72,0,47,4,45,11
akink001,2025,2,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
albio001,2025,4660,4261,647,1129,241,33,160,592,2,39,35,321,12,770,104,24,43,2,44,0,9,0
alcaj001,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
alcak001,2025,22,21,3,5,0,0,0,1,0,0,0,1,0,5,1,0,0,0,0,2,0,3
alcas001,2025,140,128,2,7,2,0,0,4,5,0,2,5,0,99,0,0,0,0,1,0,0,0
alcas002,2025,506,450,58,93,14,5,12,47,3,6,3,44,2,137,4,2,9,0,6,5,16,14
aldes001,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
alexb001,2025,451,396,50,94,19,1,10,49,4,1,13,37,0,135,7,7,6,0,4,18,5,11
alexc001,2025,25,25,0,4,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,1,2,1
alexj001,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
alexs001,2025,9,8,0,0,0,0,0,0,1,0,0,0,0,6,0,0,0,0,0,0,0,0
alext001,2025,3,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
alfaj002,2025,1752,1632,155,412,73,4,48,201,0,6,42,72,10,596,19,5,34,0,22,21,50,2
allak001,2025,7,5,1,1,0,0,0,0,2,0,0,0,0,1,0,0,0,0,1,0,0,0
alleg002,2025,843,750,110,170,31,8,11,68,12,6,28,47,2,199,48,10,13,0,13,6,29,40
allel002,2024,6,5,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
allel003,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
allen002,2025,1176,1070,98,228,32,2,9,65,23,6,5,72,0,235,16,10,21,0,10,1,3,12
almoy001,2024,9,9,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0
alonp001,2025,4394,3824,593,968,184,8,270,728,0,35,101,434,48,1007,21,4,110,0,41,60,12,0
altad001,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
altuj001,2025,9192,8328,1325,2507,476,32,282,946,27,57,82,698,52,1217,334,101,230,0,94,94,19,4
alvaa002,2024,39,37,7,9,1,0,0,2,0,0,0,2,0,8,1,0,1,0,0,0,4,0
alvaa003,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
alvae001,2024,153,135,17,23,5,1,1,11,1,1,8,8,1,45,4,0,3,0,2,2,7,5
alvae002,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
alvaf001,2025,1104,992,129,229,40,3,48,146,0,4,13,95,0,287,3,1,29,0,11,15,28,2
alvaj004,2025,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
alvan001,2025,240,218,19,47,12,0,2,15,2,1,7,12,0,59,0,0,2,0,0,0,1,0
alvay001,2025,3120,2669,468,791,169,9,182,534,0,28,45,378,47,635,9,2,61,0,16,491,16,0
alzoa001,2024,38,36,1,2,1,0,0,0,1,0,0,1,0,15,0,0,1,0,0,0,0,1
amada001,2025,164,148,6,26,8,0,1,10,3,0,1,12,0,33,2,1,3,0,2,0,2,0
amayj001,2025,154,143,12,21,2,0,0,13,1,3,0,7,0,45,4,0,4,0,1,0,0,3
amaym001,2025,622,555,63,131,26,2,17,90,7,5,16,39,0,124,0,0,7,0,6,10,11,0
andeb006,2024,2548,2246,288,563,119,11,66,274,0,11,53,238,8,620,14,8,59,0,29,15,27,0
andec001,2024,312,275,6,25,2,0,0,10,31,0,2,4,0,146,0,0,3,0,4,0,1,2
andeg002,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
andei001,2025,45,41,0,2,1,0,0,0,3,0,0,1,0,32,0,0,0,0,0,0,0,0
andej005,2024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
anden001,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
andes002,2025,28,25,0,2,1,0,0,0,2,0,1,0,0,19,0,0,0,0,0,0,0,0
andet001,2025,4174,3974,558,1105,187,18,98,351,11,11,25,153,4,985,122,32,96,0,43,2,5,5
andet002,2025,186,159,11,15,0,0,2,5,16,0,1,10,0,94,0,0,3,0,1,0,3,0
andrc002,2024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
andrm001,2024,9,9,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0
andum001,2025,1797,1696,198,476,96,6,53,223,0,12,8,81,3,279,13,5,43,0,25,82,34,3
anthr001,2025,303,257,48,75,18,1,8,32,0,1,5,40,0,84,4,1,2,0,2,18,5,0
antot001,2024,5,3,1,0,0,0,0,0,1,0,0,1,0,3,0,0,0,0,1,0,0,0
aranj001,2025,758,665,102,183,37,1,24,92,0,5,13,75,5,194,0,2,13,0,5,34,38,1
arcio002,2025,3621,3333,355,797,137,8,95,355,6,25,11,246,17,741,43,17,94,0,45,9,49,12
arenn001,2025,7564,6854,995,1928,405,34,354,1187,5,82,43,578,80,1106,31,23,203,2,71,45,16,0
ariag002,2025,1055,968,105,209,51,4,25,101,2,6,10,69,1,352,17,10,24,0,11,5,12,17
arial001,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
armss001,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
arozr001,2025,3548,3078,485,777,166,11,130,409,0,22,104,344,11,922,139,52,57,0,36,78,29,7
arral001,2025,3607,3315,441,1046,173,18,36,310,16,24,20,232,18,221,32,18,70,0,19,127,44,1
arris001,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ashba003,2025,4,2,0,0,0,0,0,0,1,0,0,1,0,2,0,0,0,0,0,0,0,1
ashcb001,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ashcg001,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
assaj001,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
avand001,2025,18,17,1,2,0,0,0,1,0,1,0,0,0,6,1,0,0,0,0,0,1,0
avill002,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
aviln001,2024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
avilp001,2024,3,2,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
azocj001,2025,418,385,59,94,17,3,2,22,7,1,2,23,0,88,20,9,9,0,6,9,24,41
bachl001,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bachs001,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
backk001,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
badda001,2025,1143,1016,137,228,39,12,28,104,2,5,0,120,3,307,43,13,11,0,6,12,27,21
badeh001,2025,3122,2808,405,694,130,14,93,332,4,27,63,220,15,767,108,35,33,0,35,4,74,35
bae-j001,2025,514,461,74,103,22,2,2,44,3,3,4,43,0,131,37,12,4,0,10,6,8,16
baezj001,2025,5286,4955,668,1244,241,30,199,704,8,28,58,234,34,1448,123,34,115,3,83,18,66,10
bailp001,2025,1253,1136,122,261,52,5,21,149,7,14,6,90,0,333,6,0,25,0,10,5,32,0
bakeb001,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
baked003,2024,14,14,1,7,2,0,0,0,0,0,0,0,0,3,0,0,0,0,0,2,5,1
bakel001,2025,189,160,15,33,7,1,4,22,0,2,0,27,0,52,1,0,5,0,3,42,27,0
baldb001,2025,449,414,41,96,21,1,13,46,5,2,1,27,0,117,9,0,10,0,4,0,11,3
baldd001,2025,446,405,56,111,18,2,19,80,0,0,3,38,0,68,0,0,9,0,2,13,23,1
ballm001,2025,69,60,12,17,2,1,2,11,0,0,0,9,1,13,0,0,2,0,2,18,6,0
banda001,2025,7,6,1,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0
banfw001,2025,10,10,0,1,0,0,0,0,0,0,0,0,0,6,0,0,1,0,0,0,0,0
bankt001,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
banud001,2025,3,2,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,2,0
barch001,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
barga001,2025,795,728,89,175,47,1,31,111,0,3,4,58,4,193,6,1,9,2,6,3,24,1
barls001,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
barna001,2025,1878,1623,219,360,66,3,37,172,13,7,29,206,9,423,24,7,47,0,15,15,141,10
barnj002,2025,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
barnm001,2024,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
barnm002,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
barnt001,2025,3108,2754,254,662,131,6,53,292,18,17,22,297,35,656,8,5,75,0,24,0,86,1
barrj004,2025,95,88,11,13,5,0,1,8,1,3,1,2,0,24,1,0,1,0,0,1,9,2
bartj003,2025,1117,995,118,238,39,3,28,113,0,2,26,94,0,344,3,2,28,0,10,19,17,3
basas001,2025,118,109,10,18,6,0,4,15,0,0,3,6,0,30,0,0,4,0,0,7,2,0
bassb002,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bassc001,2025,9,8,0,0,0,0,0,0,1,0,0,0,0,5,0,0,0,0,0,0,0,0
battm001,2024,164,142,19,34,7,1,2,12,1,0,2,19,0,36,2,2,0,0,2,4,8,4
batyb001,2025,1034,937,113,217,28,2,33,105,2,4,6,80,1,267,10,0,17,5,11,8,29,2
bauej001,2025,1982,1723,224,366,79,5,60,215,2,13,15,228,3,575,40,14,11,1,8,75,119,6
baumm001,2024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bautf001,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
baz-s001,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bazae001,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
beavd001,2025,137,110,16,25,5,1,4,14,1,0,0,26,0,36,2,2,0,0,1,0,1,0
beckj003,2025,772,709,76,171,33,5,19,66,0,2,5,55,1,239,26,9,12,1,9,7,10,3
beckt002,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bednd001,2025,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
beedt001,2024,45,40,2,4,0,0,0,1,2,0,0,3,0,25,0,0,0,0,0,0,1,0
beekj001,2025,5,5,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0
beetc001,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bellb002,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bellc002,2025,5068,4505,723,1159,220,31,235,732,0,46,20,496,62,1052,118,25,61,1,49,31,42,0
bellj005,2025,5206,4549,609,1167,228,20,195,682,0,41,28,578,33,975,4,17,140,10,52,310,88,0
bellv001,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
benda001,2025,2,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
benia002,2025,4865,4333,593,1157,244,22,120,565,11,44,29,447,17,859,88,29,72,1,42,53,50,4
bensw001,2025,1034,917,131,205,43,12,37,118,2,9,6,100,1,344,37,12,11,0,7,15,49,14
bergr001,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bermj001,2024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bernb001,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bernw002,2025,146,139,15,35,8,1,4,14,0,0,0,7,0,25,1,1,2,0,2,2,1,0
berrj001,2025,19,17,1,2,0,0,0,0,1,0,0,1,0,10,0,0,1,0,1,0,0,0
berrp001,2024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
berrs002,2025,51,42,7,7,1,0,0,1,0,0,0,9,0,16,7,2,0,0,2,2,1,9
bertj001,2025,1770,1569,234,399,66,9,24,128,6,8,23,164,2,388,110,25,30,0,28,6,59,27
bethc001,2024,1306,1246,149,284,60,0,35,135,4,4,4,48,1,329,12,5,33,0,19,16,46,6
bettm001,2025,7366,6456,1225,1861,420,42,299,956,4,66,54,786,43,990,212,42,93,0,73,14,17,4
